
====================================
TOP3 OFFICIAL BACKTEST
====================================

Loteria............: PT_RIO
Limite.............: TODOS
Hist├│rico m├¡nimo...: 100
Per├¡odo............: in├¡cio at├® fim
Telemetria.........: DESATIVADA

[BACKTEST] 5775/7432 | avaliados=5775 | erros=0
[BACKTEST] 5800/7432 | avaliados=5800 | erros=0
[BACKTEST] 5825/7432 | avaliados=5825 | erros=0
[BACKTEST] 5850/7432 | avaliados=5850 | erros=0
[BACKTEST] 5875/7432 | avaliados=5875 | erros=0
[BACKTEST] 5900/7432 | avaliados=5900 | erros=0
[BACKTEST] 5925/7432 | avaliados=5925 | erros=0
[BACKTEST] 5950/7432 | avaliados=5950 | erros=0
[BACKTEST] 5975/7432 | avaliados=5975 | erros=0
[BACKTEST] 6000/7432 | avaliados=6000 | erros=0
[BACKTEST] 6025/7432 | avaliados=6025 | erros=0
[BACKTEST] 6050/7432 | avaliados=6050 | erros=0
[BACKTEST] 6075/7432 | avaliados=6075 | erros=0
[BACKTEST] 6100/7432 | avaliados=6100 | erros=0
[BACKTEST] 6125/7432 | avaliados=6125 | erros=0
[BACKTEST] 6150/7432 | avaliados=6150 | erros=0
[BACKTEST] 6175/7432 | avaliados=6175 | erros=0
[BACKTEST] 6200/7432 | avaliados=6200 | erros=0
[BACKTEST] 6225/7432 | avaliados=6225 | erros=0
[BACKTEST] 6250/7432 | avaliados=6250 | erros=0
[BACKTEST] 6275/7432 | avaliados=6275 | erros=0
[BACKTEST] 6300/7432 | avaliados=6300 | erros=0
[BACKTEST] 6325/7432 | avaliados=6325 | erros=0
[BACKTEST] 6350/7432 | avaliados=6350 | erros=0
[BACKTEST] 6375/7432 | avaliados=6375 | erros=0
[BACKTEST] 6400/7432 | avaliados=6400 | erros=0
[BACKTEST] 6425/7432 | avaliados=6425 | erros=0
[BACKTEST] 6450/7432 | avaliados=6450 | erros=0
[BACKTEST] 6475/7432 | avaliados=6475 | erros=0
[BACKTEST] 6500/7432 | avaliados=6500 | erros=0
[BACKTEST] 6525/7432 | avaliados=6525 | erros=0
[BACKTEST] 6550/7432 | avaliados=6550 | erros=0
[BACKTEST] 6575/7432 | avaliados=6575 | erros=0
[BACKTEST] 6600/7432 | avaliados=6600 | erros=0
[BACKTEST] 6625/7432 | avaliados=6625 | erros=0
[BACKTEST] 6650/7432 | avaliados=6650 | erros=0
[BACKTEST] 6675/7432 | avaliados=6675 | erros=0
[BACKTEST] 6700/7432 | avaliados=6700 | erros=0
[BACKTEST] 6725/7432 | avaliados=6725 | erros=0
[BACKTEST] 6750/7432 | avaliados=6750 | erros=0
[BACKTEST] 6775/7432 | avaliados=6775 | erros=0
[BACKTEST] 6800/7432 | avaliados=6800 | erros=0
[BACKTEST] 6825/7432 | avaliados=6825 | erros=0
[BACKTEST] 6850/7432 | avaliados=6850 | erros=0
[BACKTEST] 6875/7432 | avaliados=6875 | erros=0
[BACKTEST] 6900/7432 | avaliados=6900 | erros=0
[BACKTEST] 6925/7432 | avaliados=6925 | erros=0
[BACKTEST] 6950/7432 | avaliados=6950 | erros=0
[BACKTEST] 6975/7432 | avaliados=6975 | erros=0
[BACKTEST] 7000/7432 | avaliados=7000 | erros=0
[BACKTEST] 7025/7432 | avaliados=7025 | erros=0
[BACKTEST] 7050/7432 | avaliados=7050 | erros=0
[BACKTEST] 7075/7432 | avaliados=7075 | erros=0
[BACKTEST] 7100/7432 | avaliados=7100 | erros=0
[BACKTEST] 7125/7432 | avaliados=7125 | erros=0
[BACKTEST] 7150/7432 | avaliados=7150 | erros=0
[BACKTEST] 7175/7432 | avaliados=7175 | erros=0
[BACKTEST] 7200/7432 | avaliados=7200 | erros=0
[BACKTEST] 7225/7432 | avaliados=7225 | erros=0
[BACKTEST] 7250/7432 | avaliados=7250 | erros=0
[BACKTEST] 7275/7432 | avaliados=7275 | erros=0
[BACKTEST] 7300/7432 | avaliados=7300 | erros=0
[BACKTEST] 7325/7432 | avaliados=7325 | erros=0
[BACKTEST] 7350/7432 | avaliados=7350 | erros=0
[BACKTEST] 7375/7432 | avaliados=7375 | erros=0
[BACKTEST] 7400/7432 | avaliados=7400 | erros=0
[BACKTEST] 7425/7432 | avaliados=7425 | erros=0
[BACKTEST] 7432/7432 | avaliados=7432 | erros=0

==============================================
TOP3 OFFICIAL BACKTEST
==============================================

Loteria.............: PT_RIO
Engine..............: top3_statistical_v3
Hist├│rico carregado.: 7532
Casos eleg├¡veis.....: 7432
Casos avaliados.....: 7432
Casos ignorados.....: 0
Erros...............: 0
Per├¡odo hist├│rico...: 2022-06-07 at├® 2026-07-23
Per├¡odo avaliado....: 2022-06-29 at├® 2026-07-23
TOP1................: 323 (4.35%)
TOP3 no 1┬║ pr├¬mio...: 917 (12.34%)
Acerto no 1┬║ pr├¬mio.: 917 (12.34%)
Acerto no 2┬║ pr├¬mio.: 857 (11.53%)
Acerto no 3┬║ pr├¬mio.: 917 (12.34%)
Algum acerto 1┬║-3┬║..: 2359 (31.74%)
Posi├º├Áes atingidas..: 2691
M├®dia posi├º├Áes/caso.: 0.3621
Palpites atingidos..: 2579
M├®dia palpites/caso.: 0.3470
Tempo total.........: 2361268 ms

POR HOR├üRIO
16:00    avaliados= 1470 | TOP1=   3.61% | 1┬║=  12.93% | 2┬║=  10.88% | 3┬║=  13.33% | QUALQUER=  32.86% | erros=0
21:00    avaliados= 1254 | TOP1=   5.98% | 1┬║=  13.56% | 2┬║=  11.00% | 3┬║=  11.48% | QUALQUER=  31.58% | erros=0
11:00    avaliados= 1469 | TOP1=   4.70% | 1┬║=  11.91% | 2┬║=  13.14% | 3┬║=  11.71% | QUALQUER=  31.65% | erros=0
14:00    avaliados= 1471 | TOP1=   4.49% | 1┬║=  12.24% | 2┬║=  11.90% | 3┬║=  12.98% | QUALQUER=  32.22% | erros=0
18:00    avaliados=  852 | TOP1=   3.64% | 1┬║=  11.97% | 2┬║=  11.27% | 3┬║=  13.73% | QUALQUER=  32.63% | erros=0
09:00    avaliados=  916 | TOP1=   3.17% | 1┬║=  10.92% | 2┬║=  10.37% | 3┬║=  10.59% | QUALQUER=  28.71% | erros=0

POR DIA DA SEMANA
0   avaliados=  746 | TOP1=   2.28% | 1┬║=   9.25% | 2┬║=  10.72% | 3┬║=  12.33% | QUALQUER=  28.15% | erros=0
1   avaliados= 1184 | TOP1=   4.05% | 1┬║=  12.67% | 2┬║=  11.66% | 3┬║=  13.68% | QUALQUER=  32.77% | erros=0
2   avaliados= 1187 | TOP1=   4.38% | 1┬║=  12.47% | 2┬║=  13.06% | 3┬║=  10.95% | QUALQUER=  31.59% | erros=0
3   avaliados=  980 | TOP1=   4.18% | 1┬║=  12.55% | 2┬║=  10.41% | 3┬║=  12.35% | QUALQUER=  31.84% | erros=0
4   avaliados= 1174 | TOP1=   5.28% | 1┬║=  12.86% | 2┬║=  11.58% | 3┬║=  11.33% | QUALQUER=  31.26% | erros=0
5   avaliados= 1178 | TOP1=   4.92% | 1┬║=  13.67% | 2┬║=  11.46% | 3┬║=  12.56% | QUALQUER=  32.77% | erros=0
6   avaliados=  983 | TOP1=   4.58% | 1┬║=  11.70% | 2┬║=  11.29% | 3┬║=  13.33% | QUALQUER=  32.66% | erros=0

POR M├èS
2022-06 avaliados=    7 | TOP1=   0.00% | 1┬║=  14.29% | 2┬║=   0.00% | 3┬║=  14.29% | QUALQUER=  28.57% | erros=0
2022-07 avaliados=  136 | TOP1=   5.88% | 1┬║=  13.24% | 2┬║=  11.76% | 3┬║=  15.44% | QUALQUER=  36.76% | erros=0
2022-08 avaliados=  138 | TOP1=   5.80% | 1┬║=  11.59% | 2┬║=  11.59% | 3┬║=  16.67% | QUALQUER=  31.16% | erros=0
2022-09 avaliados=  132 | TOP1=   6.06% | 1┬║=  14.39% | 2┬║=   8.33% | 3┬║=  15.91% | QUALQUER=  33.33% | erros=0
2022-10 avaliados=  131 | TOP1=   6.87% | 1┬║=  16.79% | 2┬║=  13.74% | 3┬║=  12.21% | QUALQUER=  34.35% | erros=0
2022-11 avaliados=  126 | TOP1=   7.94% | 1┬║=  15.87% | 2┬║=  11.90% | 3┬║=  17.46% | QUALQUER=  40.48% | erros=0
2022-12 avaliados=  133 | TOP1=   3.01% | 1┬║=   9.77% | 2┬║=   7.52% | 3┬║=   9.77% | QUALQUER=  24.06% | erros=0
2023-01 avaliados=  134 | TOP1=   6.72% | 1┬║=  11.19% | 2┬║=   9.70% | 3┬║=  12.69% | QUALQUER=  30.60% | erros=0
2023-02 avaliados=  125 | TOP1=   4.80% | 1┬║=  13.60% | 2┬║=   8.80% | 3┬║=  13.60% | QUALQUER=  28.80% | erros=0
2023-03 avaliados=  138 | TOP1=   2.90% | 1┬║=  14.49% | 2┬║=   7.97% | 3┬║=  16.67% | QUALQUER=  35.51% | erros=0
2023-04 avaliados=  126 | TOP1=   2.38% | 1┬║=  11.11% | 2┬║=  10.32% | 3┬║=  12.70% | QUALQUER=  28.57% | erros=0
2023-05 avaliados=  138 | TOP1=   6.52% | 1┬║=  13.77% | 2┬║=  13.77% | 3┬║=   7.25% | QUALQUER=  28.26% | erros=0
2023-06 avaliados=  134 | TOP1=   8.96% | 1┬║=  18.66% | 2┬║=  11.19% | 3┬║=  11.19% | QUALQUER=  35.07% | erros=0
2023-07 avaliados=  136 | TOP1=   5.88% | 1┬║=  16.18% | 2┬║=  13.24% | 3┬║=  13.97% | QUALQUER=  36.76% | erros=0
2023-08 avaliados=  138 | TOP1=   3.62% | 1┬║=  10.87% | 2┬║=  11.59% | 3┬║=  15.94% | QUALQUER=  34.06% | erros=0
2023-09 avaliados=  133 | TOP1=   6.01% | 1┬║=  14.29% | 2┬║=   9.02% | 3┬║=  11.28% | QUALQUER=  31.58% | erros=0
2023-10 avaliados=  137 | TOP1=   2.92% | 1┬║=  12.41% | 2┬║=  10.95% | 3┬║=  13.87% | QUALQUER=  33.58% | erros=0
2023-11 avaliados=  128 | TOP1=   4.69% | 1┬║=  14.84% | 2┬║=  11.72% | 3┬║=   9.38% | QUALQUER=  31.25% | erros=0
2023-12 avaliados=  133 | TOP1=   3.01% | 1┬║=   9.02% | 2┬║=  12.78% | 3┬║=  12.03% | QUALQUER=  31.58% | erros=0
